user;eventsPerDay;commitCommentEventsPerDay;createEventsPerDay;deleteEventsPerDay;downloadEventsPerDay;followEventsPerDay;forkEventsPerDay;forkApplyEventsPerDay;gistEventsPerDay;gollumEventsPerDay;issueEventsPerDay;issueCommentEventsPerDay;memberEventsPerDay;publicEventsPerDay;pullRequestEventsPerDay;pullRequestReviewEventsPerDay;pushDatesEventsPerDay;teamAddEventsPerDay;watchDatesEventsPerDay
ThePublicTheater;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
thunder990;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
rach7110;3.8061030427999705;0.0;0.3844548528080778;0.0;0.0;0.49979130865050114;0.0;0.0;0.0;0.15378194112323113;0.9226916467393868;0.8073551908969634;0.30756388224646225;0.0;0.0;0.0;0.6535732497737323;0.0;0.07689097056161556
DayS;10.301035031467435;0.06867356687644957;0.8240828025173949;0.0;0.0;0.10301035031467436;0.4120414012586974;0.0;0.0;0.0;2.3005644903610607;3.845719745081176;0.06867356687644957;0.0;0.3433678343822479;0.2060207006293487;0.961429936270294;0.0;1.1674506368996427
mreiferson;11.085521462159752;0.03695173820719917;0.4434208584863901;0.03695173820719917;0.0;0.36951738207199175;0.2586621674503942;0.0;0.0;1.478069528287967;0.5173243349007884;1.884538648567158;0.03695173820719917;0.03695173820719917;1.1085521462159753;0.849889978765581;1.5889247429095645;0.0;2.4388147216751457
bradpsheehan;7.240148635335332;0.0;1.8341709876182843;0.16893680149115775;0.0;0.5792118908268266;1.4238958982826153;0.0;0.24133828784451108;0.0;0.024133828784451108;0.048267657568902216;0.5550780620423755;0.0;0.3378736029823155;0.0;1.110156124084751;0.0;0.9170854938091422
brianguertin;28.859675395456605;0.19239783596971072;0.0;0.0;0.0;0.0;0.09619891798485536;0.0;0.0;0.0;4.425150227303346;15.295627959592;0.0;0.0;3.847956719394214;1.346784851787975;3.6555588834245034;0.0;0.0
porduna;6.403729975064488;0.0;0.36287803192032103;0.08538306633419318;0.0;0.23480343241903123;0.25614919900257954;0.0;0.0;0.0;0.19211189925193464;0.5549899311722557;0.12807459950128977;0.08538306633419318;0.08538306633419318;0.0;2.4974546902751507;0.0;1.9211189925193466
chrisballinger;17.5391704757297;0.0;1.403133638058376;0.0;0.0;2.3385560634306266;1.403133638058376;0.0;2.455483866602158;0.0;0.8184946222007193;1.1692780317153133;0.05846390158576567;0.0;0.0;0.0;2.455483866602158;0.0;5.437142847476207
gigimoi;1.0787404356987673;0.0;0.007191602904658449;0.0;0.0;0.0;0.0035958014523292245;0.0;0.0;0.16900266825947355;0.06112862468959682;0.028766411618633796;0.0;0.0;0.021574808713975345;0.0;0.7874805180601001;0.0;0.0
anthonygreen;0.1645245390777914;0.0;0.012339340430834355;0.0;0.0;0.012339340430834355;0.010282783692361963;0.0;0.012339340430834355;0.045244248246392636;0.012339340430834355;0.03496146455403067;0.0020565567384723924;0.0020565567384723924;0.00822622695388957;0.0;0.00822622695388957;0.0;0.004113113476944785
yaoshengzhe;0.09583957908936439;0.0;0.0070126521284900765;0.0;0.0;0.0070126521284900765;0.0;0.0;0.0;0.0;0.004675101418993384;0.030388159223456997;0.0;0.0;0.0070126521284900765;0.0;0.037400811351947075;0.0;0.002337550709496692
mamantoha;4.779188404567886;0.015930628015226288;0.20709816419794175;0.0;0.0;0.49384946847201494;0.07965314007613145;0.0;0.0;0.0;0.3186125603045258;0.5735026085481464;0.0;0.0;0.031861256030452575;0.0;0.2708206762588469;0.0;2.580761738466659
jschrewe;0.8653238878601668;0.0057688259190677785;0.0057688259190677785;0.0;0.0;0.014422064797669446;0.12691417021949114;0.0;0.0;0.0;0.12402975725995724;0.2942101218724567;0.0;0.0;0.07211032398834724;0.0;0.028844129595338892;0.0;0.19325566828877058
programmingthomas;5.95890288137783;0.258219124859706;0.03972601920918554;0.0;0.0;0.03972601920918554;0.15890407683674215;0.0;0.0;0.11917805762755662;0.6554793169515614;1.2712326146939372;0.0;0.0;0.27808213446429875;0.4171232016964482;1.986300960459277;0.0;0.7349313553699325
owainlewis;42.74025729898723;0.0;3.1342855352590635;0.5698700973198297;0.0;1.709610291959489;1.5671427676295318;0.0;0.0;0.0;1.994545340619404;2.8493504865991484;0.28493504865991487;0.5698700973198297;1.5671427676295318;0.0;3.1342855352590635;0.0;25.359219330732422
guyromm;0.3846470390028239;0.0025643135933521594;0.05897921264709966;0.0;0.0;0.015385881560112957;0.012821567966760797;0.0;0.0;0.0;0.0;0.0;0.003846470390028239;0.0;0.0012821567966760797;0.0;0.2333525369950465;0.0;0.056414899053747504
AndersMalmgren;0.7941717840753544;0.0052944785605023624;0.015883435681507088;0.0;0.0;0.02117791424200945;0.07147546056678189;0.0;0.0;0.0052944785605023624;0.09794785336929371;0.26207668874486695;0.0;0.0;0.06618098200627953;0.0;0.14295092113356378;0.0;0.10588957121004725
pestefo;6.074213674057975;0.28346330478937215;0.18222641022173924;0.020247378913526584;0.0;0.020247378913526584;0.04049475782705317;0.0;0.0;0.0;0.6276687463193241;1.8222641022173927;0.0;0.0;0.8098951565410634;0.0;2.0247378913526584;0.0;0.242968546962319
cuteharvey;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
taldcroft;37.257920542309726;0.0;0.12419306847436576;0.0;0.0;0.12419306847436576;0.12419306847436576;0.0;0.0;0.0;2.483861369487315;23.47248994165513;0.0;0.0;3.8499851227053385;4.843529670500264;2.2354752325385836;0.0;0.0
carlosasouza;0.2810971614249861;0.0;0.04099333604114381;0.002928095431510272;0.0;0.0;0.0;0.0;0.0;0.002928095431510272;0.002928095431510272;0.008784286294530815;0.02928095431510272;0.002928095431510272;0.0;0.0;0.19032620304816766;0.0;0.0
famished-tiger;0.7152136314420274;0.0;0.02384045438140091;0.0;0.0;0.02384045438140091;0.11920227190700457;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.548330450772221
