eventsPerDay;commitCommentEventsPerDay;createEventsPerDay;deleteEventsPerDay;downloadEventsPerDay;followEventsPerDay;forkEventsPerDay;forkApplyEventsPerDay;gistEventsPerDay;gollumEventsPerDay;issueEventsPerDay;issueCommentEventsPerDay;memberEventsPerDay;publicEventsPerDay;pullRequestEventsPerDay;pullRequestReviewEventsPerDay;pushDatesEventsPerDay;teamAddEventsPerDay;watchDatesEventsPerDay
darylyu;5.807869753143129;0.0;0.8131017654400381;0.0;0.0;0.8131017654400381;0.6582252386895546;0.0;0.0;0.0;0.058078697531431286;0.07743826337524172;0.07743826337524172;0.0;0.07743826337524172;0.0;0.23231479012572515;0.0;3.000732705790617
rkoeppl;0.9224217999303416;0.009224217999303416;0.006149478666202277;0.006149478666202277;0.018448435998606832;0.0;0.0;0.0;0.0;0.0030747393331011386;0.199858056651574;0.40894033130245144;0.0030747393331011386;0.0;0.06149478666202277;0.0;0.20293279598467515;0.0;0.0030747393331011386
pzurek;1.1062670669543815;0.0;0.14012716181422166;0.0;0.0;0.1253769342548299;0.08850136535635053;0.0;0.08481380846650259;0.007375113779695877;0.007375113779695877;0.05531335334771908;0.022125341339087633;0.02950045511878351;0.0036875568898479386;0.0;0.24706631161981188;0.0;0.2950045511878351
mariuz;3.272723140501085;0.0;0.17454523416005788;0.0;0.0;0.6545446281002171;0.16363615702505427;0.0;0.0;0.0;0.054545385675018085;0.032727231405010854;0.09818169421503255;0.010909077135003617;0.0;0.0;0.18545431129506149;0.0;1.8981794214906293
sebleier;23.16099302757606;0.0;2.2388959926656855;0.0;0.0;3.5513522642283286;3.0881324036768074;0.0;0.5404231706434414;0.0;0.0;0.23160993027576057;0.7720331009192019;0.23160993027576057;0.07720331009192019;0.0;0.0;0.0;12.42973292479915
Ivesvdf;0.5927413877557741;0.0019758046258525805;0.08891120816336612;0.0;0.0;0.04149189714290419;0.04741931102046193;0.0;0.009879023129262901;0.019758046258525803;0.027661264761936127;0.03556448326534645;0.023709655510230965;0.0;0.007903218503410322;0.0;0.17979822095258483;0.0;0.10866925442189192
jerry;5.657555499484446;0.0;0.528038513285215;0.0;0.0;0.6034725866116742;0.6034725866116742;0.0;0.056575554994844464;0.0;0.0;0.0;0.2451607383109927;0.01885851833161482;0.0;0.0;0.0;0.0;3.601977001338431
nathansamson;0.8238630927706077;0.0;0.08238630927706077;0.019223472164647513;0.0;0.008238630927706077;0.030208313401588947;0.0;0.0;0.002746210309235359;0.0;0.019223472164647513;0.005492420618470718;0.0;0.010984841236941436;0.0;0.6288821608148972;0.0;0.016477261855412154
mukadr;3.3687419477384912;0.08983311860635977;0.3144159151222592;0.022458279651589943;0.0;0.044916559303179886;0.0786039787805648;0.0;0.0;0.0;0.03368741947738491;0.12352053808374468;0.044916559303179886;0.011229139825794971;0.13474967790953965;0.011229139825794971;2.313202804113764;0.0;0.1459788177353346
tnzk;1.2755084466019608;0.0;0.06802711715210458;0.0;0.0;0.06377542233009804;0.04251694822006536;0.0;0.08078220161812419;0.0;0.0;0.0;0.012755084466019608;0.0;0.0;0.0;0.08078220161812419;0.0;0.9268694711974249
rosarior;14.895498766466508;0.0;0.7944266008782138;0.0;0.0;1.3405948889819856;1.1419882387624323;0.0;0.0;0.09930332510977673;1.1916399013173207;1.6385048643113158;0.29790997532933017;0.0;1.0923365762075439;0.0;1.4895498766466508;0.0;5.809244518921938
berlinbrown;7.255260903884588;0.0;0.8948155114790992;0.0;0.0;0.45949985724602393;0.9431839175049964;0.0;0.0;0.0;0.0;0.0;0.24184203012948627;0.04836840602589725;0.0;0.0;0.0;0.0;4.667551181499085
atvrager;1.2102453431584836;0.0;0.22187831291238866;0.0;0.0;0.26221982435100477;0.14522944117901804;0.0;0.06051226715792418;0.0;0.0;0.0;0.04437566258247773;0.008068302287723223;0.0;0.0;0.0;0.0;0.467961532687947
demonstar55;0.7964634809049264;0.013274391348415439;0.029203660966513965;0.0026548782696830878;0.0;0.0;0.0026548782696830878;0.0;0.0;0.0026548782696830878;0.013274391348415439;0.11681464386605586;0.0026548782696830878;0.0;0.1088500090570066;0.0026548782696830878;0.4991171147004205;0.0;0.0026548782696830878
vissi;7.509954601281386;0.0;1.3517918282306496;0.0;0.0;0.77602864213241;0.77602864213241;0.0;0.77602864213241;0.0;0.0;0.0;0.27536500204698416;0.07509954601281386;0.0;0.0;0.17523227402989902;0.0;3.3043800245638097
joelburget;2.338742698421836;0.07795808994739453;0.654847955558114;0.0;0.0;0.2494658878316625;0.4287694947106699;0.0;0.07016228095265507;0.0;0.02338742698421836;0.007795808994739453;0.11693713492109178;0.015591617989478905;0.0;0.0;0.10134551693161288;0.0;0.5924814836001984
dchest;2.3857014749286427;0.0;0.32604586824024784;0.0;0.0;0.29423651524119926;0.3021888534909614;0.0;0.0;0.0;0.047714029498572855;0.06361870599809714;0.047714029498572855;0.007952338249762143;0.007952338249762143;0.0;0.03180935299904857;0.0;1.2564694434624186
juniorbl;1.5857756899485496;0.0;0.2167226776263018;0.0;0.0;0.14271981209536946;0.1850071638273308;0.0;0.037001432765466157;0.0;0.0;0.0;0.06343102759794199;0.015857756899485497;0.0;0.0;0.0;0.0;0.925035819136654
MindTooth;20.199816081921476;0.0;3.433968733926651;0.0;0.0;1.144656244642217;0.9426580838230023;0.0;0.06733272027307159;0.0;0.0;0.0;0.9426580838230023;0.0;0.0;0.0;0.0;0.0;13.668542215433533
rpetrich;7.705994889427001;0.0;0.53941964225989;0.0;0.0;1.0531526348883566;0.8219727882055468;0.0;0.0;0.025686649631423336;0.07705994889427001;0.23117984668281003;0.12843324815711668;0.025686649631423336;0.3596130948399267;0.05137329926284667;1.15589923341405;0.0;3.23651785355934
davidrobles;40.86400892954269;0.2724267261969513;2.1794138095756104;0.0;0.0;0.5448534523939026;2.1794138095756104;0.0;0.13621336309847565;1.2259202678862808;0.6810668154923782;9.671148779991771;0.6810668154923782;0.0;3.1329073512649397;0.13621336309847565;15.528323393226223;0.0;4.495040982249696
olliesaunders;0.3863823799083831;0.002619541558700902;0.006548853896752255;0.0;0.0;0.001309770779350451;0.006548853896752255;0.001309770779350451;0.01178793701415406;0.015717249352205413;0.051081060394667595;0.09037418377518112;0.014407478572854961;0.0;0.0589396850707703;0.0;0.10216212078933519;0.0;0.02357587402830812
storrgie;8.28399265434849;0.8007859565870207;0.3865863238695962;0.0;0.0;0.24851977963045468;0.16567985308696978;0.0;0.0;0.027613308847828297;0.8836258831305055;2.512811105152375;0.08283992654348489;0.0;0.9388525008261621;0.0;1.3254388246957582;0.0;0.8836258831305055
pius;16.74667424746571;0.05582224749155236;0.8931559598648378;0.05582224749155236;0.0;0.39075573244086653;0.5582224749155236;0.0;0.0;0.0;1.3397339397972567;5.526402501663684;0.11164449498310472;0.22328898996620944;0.9489782073563902;0.11164449498310472;1.1722671973225995;0.0;5.358935759189027
